step,timestamp,waiting_time_change,queue_penalty,throughput_reward,efficiency_reward,total_reward,current_waiting_time,current_queue_length,avg_speed,vehicle_count
0,2025-09-02T01:01:45.201434,-10.0,-0.1,0.7,0.48666666666666686,-3.772,10.0,5,8.0,15
0,2025-09-02T01:01:46.297277,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
1,2025-09-02T01:01:46.307450,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
2,2025-09-02T01:01:46.318300,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
3,2025-09-02T01:01:46.327857,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
4,2025-09-02T01:01:46.332128,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
0,2025-09-02T01:01:47.428958,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
1,2025-09-02T01:01:47.441663,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
2,2025-09-02T01:01:47.451644,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
3,2025-09-02T01:01:47.456872,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
4,2025-09-02T01:01:47.460824,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
5,2025-09-02T01:01:47.464517,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
6,2025-09-02T01:01:47.468409,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
7,2025-09-02T01:01:47.472606,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
8,2025-09-02T01:01:47.476571,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
9,2025-09-02T01:01:47.480472,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
0,2025-09-02T01:02:00.593307,-10.0,-0.1,0.7,0.48666666666666686,-3.772,10.0,5,8.0,15
0,2025-09-02T01:02:01.678585,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
1,2025-09-02T01:02:01.688609,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
2,2025-09-02T01:02:01.696555,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
3,2025-09-02T01:02:01.700862,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
4,2025-09-02T01:02:01.705468,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
0,2025-09-02T01:02:02.796339,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
1,2025-09-02T01:02:02.808544,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
2,2025-09-02T01:02:02.818725,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
3,2025-09-02T01:02:02.823258,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
4,2025-09-02T01:02:02.827387,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
5,2025-09-02T01:02:02.831498,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
6,2025-09-02T01:02:02.835271,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
7,2025-09-02T01:02:02.839099,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
8,2025-09-02T01:02:02.842930,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
9,2025-09-02T01:02:02.846831,0.0,0.0,-0.5,0.4,-0.065,0.0,0,0.0,0
